global_cell_id,cell_id,current_lat,current_lon,current_state,current_county,inferred_lat,inferred_lon,inferred_state,deviation_miles,n_neighbor_samples
310-410-59376137,59376137,21.343002,-157.83165,Hawaii,Honolulu County,43.924498,-70.166588,Maine,6246.3,24
310-410-59182351,59182351,19.619522,-155.985947,Hawaii,Hawaiʻi County,44.455353,-70.189705,Maine,6163.0,368
310-410-64290824,64290824,54.868336,-164.140671,Alaska,Aleutians East,35.061757,-92.075272,Arkansas,5156.9,79
310-410-125703696,125703696,64.242901,-149.210118,Alaska,Denali,35.813438,-83.171768,Tennessee,4961.0,8
310-410-253955849,253955849,35.813438,-83.171768,Tennessee,Cocke County,64.029902,-149.151826,Alaska,4951.5,20
310-410-125697048,125697048,39.10586,-94.570702,Missouri,Jackson County,64.543823,-149.057724,Alaska,4149.1,153
310-410-23303959,23303959,47.396989,-122.968654,Washington,Mason County,43.188816,-71.563423,New Hampshire,3558.8,137
310-410-14872331,14872331,43.06578,-124.134371,Oregon,Coos County,41.923435,-72.683815,Connecticut,3551.0,66
310-410-24357384,24357384,38.182213,-121.7034,California,Solano County,42.836193,-71.614578,New Hampshire,3471.0,143
310-410-23305224,23305224,37.827794,-120.180375,California,Tuolumne County,44.393817,-70.978338,Maine,3425.0,10
310-410-169209111,169209111,40.010147,-74.247665,New Jersey,Ocean County,39.379143,-123.322703,California,3386.5,85
310-410-7660387,7660387,48.142356,-123.402882,Washington,Clallam County,40.013618,-75.166148,Pennsylvania,3375.3,19
310-410-170658915,170658915,40.577316,-73.963394,New York,,37.797775,-122.382541,California,3346.4,15
310-410-173380281,173380281,41.32717,-72.922573,Connecticut,New Haven County,37.884666,-121.224223,California,3341.3,429
310-410-7604689,7604689,47.883224,-122.642441,Washington,Jefferson County,39.949102,-75.161702,Pennsylvania,3321.6,36
310-410-7604697,7604697,47.566234,-122.634594,Washington,Kitsap County,39.900696,-75.175929,Pennsylvania,3317.1,19
310-410-7604688,7604688,47.785721,-122.597122,Washington,Kitsap County,39.956386,-75.166397,Pennsylvania,3317.0,13
310-410-7604397,7604397,47.568741,-122.686386,Washington,Kitsap County,39.929092,-75.230663,Pennsylvania,3316.6,9
310-410-7604420,7604420,47.638779,-122.514725,Washington,Kitsap County,39.974877,-75.197304,Pennsylvania,3307.4,8
310-410-170078743,170078743,40.798416,-74.426193,New Jersey,Morris County,37.891499,-122.057656,California,3292.7,43
310-410-7147693,7147693,39.044903,-123.261177,California,Mendocino County,41.360042,-75.702408,Pennsylvania,3285.4,8
310-410-6754477,6754477,39.044903,-123.261177,California,Mendocino County,41.362332,-75.818299,Pennsylvania,3277.5,6
310-410-84620816,84620816,40.696017,-74.166333,New Jersey,Essex County,44.169937,-121.32798,Oregon,3263.0,5
310-410-5289915,5289915,37.827988,-122.259293,California,Alameda County,39.950072,-75.171153,Pennsylvania,3252.4,37
310-410-5640471,5640471,38.389664,-122.741318,California,Sonoma County,41.309466,-75.786321,Pennsylvania,3246.2,96
310-410-5640472,5640472,38.358078,-122.642441,California,Sonoma County,41.309466,-75.843727,Pennsylvania,3235.5,17
310-410-6591754,6591754,37.499202,-122.243269,California,San Mateo County,40.632469,-75.490481,Pennsylvania,3233.2,32
310-410-23299080,23299080,34.704945,-117.203751,California,San Bernardino County,43.501896,-71.196671,New Hampshire,3232.0,46
310-410-2566161,2566161,38.569687,-121.489807,California,Sacramento County,39.6799,-75.641558,Delaware,3164.5,118
310-410-166589462,166589462,38.793108,-123.012316,California,Sonoma County,38.14821,-77.5075,Virginia,3140.1,129
310-410-6531593,6531593,47.264209,-120.068983,Washington,Douglas County,40.201218,-75.26331,Pennsylvania,3129.8,27
310-410-5899542,5899542,46.560315,-120.38515,Washington,Yakima County,39.880403,-75.547114,Pennsylvania,3128.0,165
310-410-5941769,5941769,47.270682,-120.072247,Washington,Douglas County,40.072986,-75.385108,Pennsylvania,3123.2,38
310-410-5940744,5940744,47.234872,-119.911238,Washington,Grant County,40.070961,-75.494321,Pennsylvania,3104.4,614
310-410-13837072,13837072,32.537974,-117.028785,Baja California,Municipio de Tijuana,41.543647,-73.087815,Connecticut,3094.9,18
310-410-13837073,13837073,32.522987,-117.005075,Baja California,Municipio de Tijuana,41.594929,-73.2069,Connecticut,3086.2,29
310-410-5398281,5398281,36.651077,-119.785995,California,Fresno County,39.886711,-75.496036,Pennsylvania,3064.2,131
310-410-5398460,5398460,36.770554,-119.836807,California,Fresno County,39.87819,-75.557533,Pennsylvania,3062.8,34
310-410-141230602,141230602,40.648728,-75.360032,Pennsylvania,Northampton County,34.158756,-118.808108,California,3031.2,38
310-410-142182922,142182922,39.889297,-75.056534,New Jersey,Camden County,34.14782,-118.479828,California,3022.3,39
310-410-171124758,171124758,30.145249,-81.694981,Florida,Clay County,40.785117,-124.157256,California,3020.5,13
310-410-171124759,171124759,30.144999,-81.695231,Florida,Clay County,40.777267,-124.140602,California,3019.2,38
310-410-5977622,5977622,45.674026,-118.846236,Oregon,Umatilla County,40.082005,-75.449646,Pennsylvania,3019.1,316
