User Trip Behavior Analysis:
                            User  Total Trips  Complete Trips  Complete %  Avg Hops
94E8C7E66178728D5715DFE6AAD89700          149              33   22.147651  5.727273
16621DDA5F0E80D3B3045F101C0F59DB          178              31   17.415730  5.709677
936A3165571EADFB9C6D27ADEF6EBB4F           25               4   16.000000  5.250000
EC5CAE0D1924BAC7CBD88D03DA185597           72              10   13.888889  4.800000
E7C78BF447DEDE56A3C9A8CD30B94B96           65               5    7.692308  4.800000
BE5189916CDBF78E258FCFF6D344D02A           32               2    6.250000  4.000000
6164D632D2898E5E05BCE05794472C77           33               2    6.060606  5.000000
E2688BA0F4A1F50C693FF16A2ACFCDE7           33               2    6.060606  3.500000
BE5189916CDBF78E98282E4BDE24E7B4           24               1    4.166667  8.000000
F140A413CDBACB245F79DAE1D7438EC4           24               1    4.166667  3.000000
E2688BA0F4A1F50C0E03455B664A6D93           25               1    4.000000  5.000000
516AD31BC12CB758CC607ECB33527CF1           32               1    3.125000  3.000000
BE5189916CDBF78E29FAC3CC63272609           33               1    3.030303  3.000000
01EC837476D754AAFB7BEF01460644B0            6               0    0.000000  0.000000
01EC837476D754AA063CFBA426AB1732           37               0    0.000000  0.000000
71C8877FC5063712F5B34F1F8A2198BB           37               0    0.000000  0.000000
01EC837476D754AA10D9FE5256369820           21               0    0.000000  0.000000
936A3165571EADFB5C4F7978327CEAA3           27               0    0.000000  0.000000
826A6715AFFD603E91F58710EDC97A33           21               0    0.000000  0.000000
A151200FE03CF460142E4E16F7F1EFAD           20               0    0.000000  0.000000
A151200FE03CF460A2DA24D47F32E247            9               0    0.000000  0.000000
BE5189916CDBF78E7086EAE09F7632A1           32               0    0.000000  0.000000
BE5189916CDBF78E4BA0B324A63B0E8A            4               0    0.000000  0.000000
E2688BA0F4A1F50C5750C48E44004D95           39               0    0.000000  0.000000
FF920A723252E7D9FD377FB4F671B590            2               0    0.000000  0.000000
